* Measurement data measured by REW V5.19
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Dec 21, 2020 11:50:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FD5 (R) narrow; triple L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
261.108, 96.487, 161.849
261.475, 96.489, 161.839
261.841, 96.488, 161.814
262.207, 96.484, 161.796
262.573, 96.480, 161.793
262.939, 96.477, 161.799
263.306, 96.475, 161.805
263.672, 96.472, 161.810
264.038, 96.469, 161.818
264.404, 96.465, 161.835
264.771, 96.463, 161.857
265.137, 96.461, 161.874
265.503, 96.459, 161.879
265.869, 96.454, 161.877
266.235, 96.447, 161.879
266.602, 96.440, 161.893
266.968, 96.433, 161.913
267.334, 96.428, 161.923
267.700, 96.422, 161.912
268.066, 96.413, 161.887
268.433, 96.400, 161.869
268.799, 96.384, 161.881
269.165, 96.370, 161.927
269.531, 96.362, 161.989
269.897, 96.360, 162.034
270.264, 96.361, 162.038
270.630, 96.360, 162.001
270.996, 96.354, 161.943
271.362, 96.342, 161.897
271.729, 96.328, 161.883
272.095, 96.316, 161.905
272.461, 96.308, 161.946
272.827, 96.305, 161.980
273.193, 96.305, 161.989
273.560, 96.305, 161.969
273.926, 96.301, 161.931
274.292, 96.292, 161.896
274.658, 96.280, 161.884
275.024, 96.268, 161.908
275.391, 96.259, 161.963
275.757, 96.256, 162.027
276.123, 96.258, 162.074
276.489, 96.263, 162.082
276.855, 96.265, 162.051
277.222, 96.262, 161.999
277.588, 96.252, 161.957
277.954, 96.239, 161.952
278.320, 96.227, 161.987
278.687, 96.219, 162.045
279.053, 96.217, 162.099
279.419, 96.218, 162.129
279.785, 96.218, 162.132
280.151, 96.216, 162.123
280.518, 96.211, 162.115
280.884, 96.207, 162.113
281.250, 96.202, 162.110
281.616, 96.197, 162.098
281.982, 96.190, 162.081
282.349, 96.179, 162.074
282.715, 96.168, 162.088
283.081, 96.158, 162.124
283.447, 96.152, 162.164
283.813, 96.148, 162.189
284.180, 96.144, 162.194
284.546, 96.137, 162.194
284.912, 96.127, 162.209
285.278, 96.118, 162.251
285.645, 96.113, 162.308
286.011, 96.112, 162.357
286.377, 96.115, 162.376
286.743, 96.116, 162.365
287.109, 96.113, 162.339
287.476, 96.108, 162.318
287.842, 96.101, 162.311
288.208, 96.095, 162.309
288.574, 96.090, 162.302
288.940, 96.085, 162.284
289.307, 96.077, 162.259
289.673, 96.066, 162.242
290.039, 96.052, 162.244
290.405, 96.040, 162.271
290.771, 96.029, 162.318
291.138, 96.023, 162.372
291.504, 96.020, 162.416
291.870, 96.020, 162.436
292.236, 96.018, 162.430
292.603, 96.013, 162.413
292.969, 96.004, 162.410
293.335, 95.996, 162.435
293.701, 95.993, 162.478
294.067, 95.995, 162.505
294.434, 96.000, 162.483
294.800, 95.999, 162.412
295.166, 95.988, 162.332
295.532, 95.968, 162.305
295.898, 95.946, 162.366
296.265, 95.934, 162.499
296.631, 95.936, 162.639
296.997, 95.949, 162.720
297.363, 95.961, 162.717
297.729, 95.965, 162.662
298.096, 95.959, 162.615
298.462, 95.948, 162.616
298.828, 95.940, 162.660
299.194, 95.938, 162.708
299.561, 95.938, 162.724
299.927, 95.936, 162.703
300.293, 95.928, 162.672
300.659, 95.916, 162.663
301.025, 95.903, 162.686
301.392, 95.894, 162.722
301.758, 95.888, 162.743
302.124, 95.881, 162.739
302.490, 95.871, 162.725
302.856, 95.857, 162.733
303.223, 95.843, 162.778
303.589, 95.835, 162.851
303.955, 95.835, 162.918
304.321, 95.841, 162.945
304.688, 95.847, 162.922
305.054, 95.848, 162.865
305.420, 95.843, 162.809
305.786, 95.834, 162.783
